store_name,location,event_type,event_date,status,short_description,article_link,published_date,source_batch,Date_Appended
Ross Dress for Less,1150 Union Street in West Springfield,Opening,Not specified,Construction is now underway,"Construction is now underway on the new Ross Dress for Less location in West Springfield. The new discount retailer will be located at 1150 Union Street in West Springfield, the former Big Lots store.",https://www.theconnecticutscoop.com/all-mass-posts/west-springfield-scoop-work-begins-on-massachusetts-first-ross-dress-for-less,,ct_scoop_batch1_output,2026-07-01
Paris Baguette,"The Shops at Stone Bridge, Cheshire",Opening,Not specified,opens,Paris Baguette has opened at The Shops at Stone Bridge in Cheshire. The article announces the opening of the new location.,https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-paris-baguette-opens-at-the-shops-at-stone-bridge,2026-07-01,,2026-07-01
The Lil Plant Shop,Newington,Opening,Not specified,sets down roots,The Lil Plant Shop has set down roots in Newington. The article shares the news of the new shop's opening.,https://www.theconnecticutscoop.com/all-hartford-county-posts/newington-scoop-the-lil-plant-shop-sets-down-roots-in-newington,2026-06-30,,2026-07-01
Dairy Queen,Plainville,Opening,Not specified,reopens,Dairy Queen has reopened in Plainville. The article reports on the reopening of the location.,https://www.theconnecticutscoop.com/all-hartford-county-posts/plainville-scoop-dairy-queen-reopens-in-plainville,2026-06-30,,2026-07-01
Rally House,Manchester,Opening,Not specified,bringing,Rally House is bringing an official UConn merchandise store to Manchester. The article shares the news of the upcoming store.,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-rally-house-bringing-official-uconn-merchandise-store-to-manchester,2026-06-30,,2026-07-01
Umi Buffet,North Haven,Opening,07/03,to open this Friday,"Umi Buffet is set to open this Friday, July 3, per management. The article announces the opening date of the new buffet.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-umi-buffet-to-open-this-friday-0703-per-management,2026-06-30,,2026-07-01
Popeyes,Address not specified,Opening,Not specified,opens long-awaited location,Popeyes has opened a new location in Cromwell. The article announces the opening of the long-awaited location. The new Popeyes is now available to the public.,https://www.theconnecticutscoop.com/all-middlesex-county-posts/cromwell-scoop-popeyes-opens-long-awaited-location,2026-06-30,,2026-07-01
Canada Weather Gear,"Clinton Premium Outlets, Address not specified",Opening,Not specified,coming soon,Canada Weather Gear is coming soon to Clinton Premium Outlets. The article announces the upcoming opening of the new store. The store will be located at the Clinton Premium Outlets.,https://www.theconnecticutscoop.com/all-middlesex-county-posts/clinton-scoop-canada-weather-gear-coming-soon-to-clinton-premium-outlets,2026-06-29,,2026-07-01
Two Dogs Coffee Shop,Address not specified,Opening,Not specified,coming soon,Two Dogs Coffee Shop is coming soon to Norwich. The article announces the upcoming opening of the coffee shop.,https://www.theconnecticutscoop.com/all-new-london-county-posts/norwich-scoop-two-dogs-coffee-shop-coming-soon-to-norwich,2026-07-01,,2026-07-02
Run Manchester by Kelly's Pace,"Manchester, Address not specified",Opening,Not specified,announces new running store,Run Manchester by Kelly's Pace announces a new running store in Manchester. The store is expected to cater to runners.,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-run-manchester-by-kellys-pace-announces-new-running-store-in-manchester,2026-07-02,,2026-07-03
Ramen & Bao,"Cheshire, Address not specified",Opening,Not specified,sets opening date,Ramen & Bao sets an opening date in Cheshire. The article does not provide further details.,https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-ramen-bao-sets-opening-date-in-cheshire,2026-07-02,,2026-07-03
The Bristol Bazaar,"Connecticut Post Mall, Address not specified",Opening,Not specified,opens new location,The Bristol Bazaar opens a new location inside Connecticut Post Mall. The article does not provide further details.,https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-the-bristol-bazaar-opens-new-location-inside-connecticut-post-mall,2026-07-02,,2026-07-03
The James Pharmacy,"Old Saybrook, Address not specified",Remodel,Not specified,reopens with new concept,The James Pharmacy reopens with a new concept under Chef Colt Taylor. The article does not provide further details.,https://www.theconnecticutscoop.com/all-middlesex-county-posts/old-saybrook-scoop-the-james-pharmacy-reopens-with-new-concept-under-chef-colt-taylor,2026-07-02,,2026-07-03
Target,"Springfield, Address not specified",Opening,Not specified,sets opening date,Target sets an opening date in Springfield. The article does not provide further details.,https://www.theconnecticutscoop.com/all-mass-posts/springfield-scoop-target-sets-opening-date,2026-07-02,,2026-07-03
Istanbul Cafe,The Shoppes at Buckland Hills,Opening,Not specified,coming to,Istanbul Cafe is coming to The Shoppes at Buckland Hills in Manchester. The article does not provide a specific opening date. The cafe will be a new addition to the shopping center.,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-istanbul-cafe-coming-to-the-shoppes-at-buckland-hills,2026-07-03,,2026-07-04
Xperience,Waterbury,Opening,Not specified,coming to,"Xperience, a play-center and eatery, is coming to Waterbury. The article does not provide a specific opening date. The business will offer a unique experience for visitors.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-xperience-play-center-eatery-coming-to-waterbury,2026-07-03,,2026-07-04
New independent bookstore,Jewett City,Opening,Not specified,opens,A new independent bookstore has opened in Jewett City. The article does not provide a specific opening date or the name of the bookstore. The store is a new addition to the local community.,https://www.theconnecticutscoop.com/all-new-london-county-posts/jewett-city-scoop-new-independent-bookstore-opens,2026-07-03,,2026-07-04
